Time,SenderSumoID,SenderStationID,OffenderSumoID,OffenderStationID,DetectedSpeed,PosX,PosY,ViolationType
30.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
